Altium Designer Pick and Place Locations
C:\Users\user\Documents\GitHub\QUANTUM\Incubation\Hardware\Time4CM4\Project Outputs for Time4CM4_PCIeCarrier\Pick Place for Time4CM4_PCIeCarrier_PCB.csv

========================================================================================================================
File Design Information:

Date:       23.09.24
Time:       19:13
Revision:   e7b9c2e23a3056579164fc7f7308e146c97af61c
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R51","DNP","TopLayer","RESC1005X40X25LL05T05","40.4000","38.6000","270","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R50","DNP","TopLayer","RESC1005X40X25LL05T05","38.6000","38.6000","270","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R49","4.7K","TopLayer","RESC1005X40X25LL05T05","39.5000","38.6000","90","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R48","4.7K","TopLayer","RESC1005X40X25LL05T05","37.7000","38.6000","90","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R47","4.7K","BottomLayer","RESC1005X40X25LL05T05","28.7500","34.0750","180","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R46","4.7K","BottomLayer","RESC1005X40X25LL05T05","28.7250","32.4750","180","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R45","4.7K","BottomLayer","RESC1005X40X25LL05T05","28.7250","33.2818","180","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R44","4.7K","BottomLayer","RESC1005X40X25LL05T05","28.7250","35.8409","0","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R43","4.7K","BottomLayer","RESC1005X40X25LL05T05","28.7250","34.8887","0","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R42","4.7K","BottomLayer","RESC1005X40X25LL05T05","37.9636","42.4000","270","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R41","4.7K","BottomLayer","RESC1005X40X25LL05T05","39.1909","42.4000","270","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R40","DNP","TopLayer","RESC1005X40X25LL05T05","47.7000","38.5000","270","DNP"
"R39","4.7K","BottomLayer","RESC1005X40X25LL05T05","40.4182","42.4000","270","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R38","4.7K","BottomLayer","RESC1005X40X25LL05T05","42.8454","42.4000","270","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R37","4.7K","TopLayer","RESC1005X40X25LL05T05","48.5000","38.5000","90","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R36","4.7K","BottomLayer","RESC1005X40X25LL05T05","41.6727","42.4000","270","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R35","4.7K","BottomLayer","RESC1005X40X25LL05T05","44.1000","42.4000","270","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R34","191R 1%","BottomLayer","RESC1005X40X25ML05T05","32.7000","28.2000","180",""
"L4","4.7uH","TopLayer","FP-NR3012-MFG","32.0250","32.2500","270","SMD Power Inductors 4.7uH ±20% 0.77A 0.13?"
"FB10","BMB2A1000LN2","BottomLayer","FP-BMB2A1000LN2-IPC_C","49.0000","30.0241","270","FERRITE BEAD 1 KOHM 0805 1LN"
"FB9","BMB2A1000LN2","BottomLayer","FP-BMB2A1000LN2-IPC_C","49.0000","32.7000","90","FERRITE BEAD 1 KOHM 0805 1LN"
"FB8","BMB2A1000LN2","BottomLayer","FP-BMB2A1000LN2-IPC_C","32.9000","30.0000","0","FERRITE BEAD 1 KOHM 0805 1LN"
"C77","100nF","TopLayer","FP-GRM15-MFG","36.0000","26.1000","90","CAP CER 0.1UF 16V X7R 0402"
"C76","100nF","TopLayer","FP-GRM15-MFG","46.4000","38.4000","270","CAP CER 0.1UF 16V X7R 0402"
"C75","100nF","TopLayer","FP-GRM15-MFG","46.7000","35.1000","180","CAP CER 0.1UF 16V X7R 0402"
"C74","10uf","TopLayer","FP-GRM188-0_2-IPC_C","47.2000","36.6000","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 35V"
"C73","100nF","BottomLayer","FP-GRM15-MFG","47.1000","29.8000","0","CAP CER 0.1UF 16V X7R 0402"
"C72","47uF","TopLayer","FP-C2012-125-0_2-IPC_B","29.3250","32.2500","90","Multilayer Ceramic Capacitors 47?F ±20% 10V X5R SMD 0805"
"C70","100nF","BottomLayer","FP-GRM15-MFG","34.5000","25.3000","90","CAP CER 0.1UF 16V X7R 0402"
"C69","100nF","BottomLayer","FP-GRM15-MFG","41.0000","39.0000","270","CAP CER 0.1UF 16V X7R 0402"
"C68","100nF","BottomLayer","FP-GRM15-MFG","47.1000","33.2000","180","CAP CER 0.1UF 16V X7R 0402"
"C67","100nF","BottomLayer","FP-GRM15-MFG","47.1000","34.5000","180","CAP CER 0.1UF 16V X7R 0402"
"C66","10uf","BottomLayer","FP-GRM188-0_2-IPC_C","47.3000","36.0000","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 35V"
"C65","10uf","BottomLayer","FP-GRM188-0_2-IPC_C","38.4000","39.5000","90","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 35V"
"C64","100nF","BottomLayer","FP-GRM15-MFG","40.0000","39.0000","270","CAP CER 0.1UF 16V X7R 0402"
"C63","100nF","BottomLayer","FP-GRM15-MFG","47.1000","32.0000","180","CAP CER 0.1UF 16V X7R 0402"
"C62","100nF","BottomLayer","FP-GRM15-MFG","47.1000","30.9000","180","CAP CER 0.1UF 16V X7R 0402"
"C61","100nF","BottomLayer","FP-GRM15-MFG","33.6000","33.1000","0","CAP CER 0.1UF 16V X7R 0402"
"U15","AP3445LW6-7","TopLayer","SOT95P285X140-6N","33.7500","41.0000","0","Integrated Circuit"
"U14","TPD4E05U06QDQARQ1","BottomLayer","FP-DQA0010A-MFG","8.6175","31.4000","0","TVS DIODE 5.5V 14V 10USON"
"U13","TPD4E05U06QDQARQ1","BottomLayer","FP-DQA0010A-MFG","8.5825","28.1000","180","TVS DIODE 5.5V 14V 10USON"
"U12","TPD4E05U06QDQARQ1","BottomLayer","FP-DQA0010A-MFG","8.6000","34.7000","180","TVS DIODE 5.5V 14V 10USON"
"U11","HD3SS3220IRNHT","BottomLayer","FP-RNH0030A-MFG","4.3000","31.4000","0","USB TYPE-C DRP PORT CONTROLLER W"
"U10","TPD4E05U06QDQARQ1","TopLayer","FP-DQA0010A-MFG","19.4000","31.8000","0","TVS DIODE 5.5V 14V 10USON"
"U9","TPD4E05U06QDQARQ1","TopLayer","FP-DQA0010A-MFG","19.4000","28.2000","0","TVS DIODE 5.5V 14V 10USON"
"U8","TPD4E05U06QDQARQ1","TopLayer","FP-DQA0010A-MFG","19.4000","35.4000","0","TVS DIODE 5.5V 14V 10USON"
"U7","HD3SS3220IRNHT","TopLayer","FP-RNH0030A-MFG","23.3750","31.7000","180","USB TYPE-C DRP PORT CONTROLLER W"
"U6","AP22653W6-7","TopLayer","FP-SOT26-MFG","21.9000","13.2000","180","LOAD SWITCH,SOT26,T&R,3K"
"R33","90.9K 1%","TopLayer","RESC1005X40X25NL05T10","36.7500","40.9750","180",""
"R32","15.4K 1%","TopLayer","RESC1005X40X25ML05T10","32.2500","43.5000","180",""
"R31","68K 1%","TopLayer","RESC1005X40X25ML05T05","36.9000","40.0000","180",""
"R30","15.4K 1%","TopLayer","RESC1005X40X25ML05T10","32.2500","44.5000","0",""
"R29","909K","BottomLayer","RESC1005X40X25NL05T10","2.2000","27.4750","270",""
"R28","200K","BottomLayer","RESC1005X40X25NL05T05","3.1250","27.4750","270","Chip Resistor, 200 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R27","200K","BottomLayer","RESC1005X40X25NL05T05","5.7750","27.4750","270","Chip Resistor, 200 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R26","200K","BottomLayer","RESC1005X40X25NL05T05","4.8750","27.4750","270","Chip Resistor, 200 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R25","909K","BottomLayer","RESC1005X40X25NL05T10","26.3750","32.0000","0",""
"R24","200K","BottomLayer","RESC1005X40X25NL05T05","26.3750","31.1000","0","Chip Resistor, 200 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R23","200K","TopLayer","RESC1005X40X25NL05T05","22.9750","27.7000","270","Chip Resistor, 200 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R22","200K","BottomLayer","RESC1005X40X25NL05T05","24.2000","35.6750","90","Chip Resistor, 200 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R21","15.4K 1%","TopLayer","RESC1005X40X25ML05T10","22.4000","15.8000","180",""
"R20","15.4K 1%","TopLayer","RESC1005X40X25ML05T10","25.4000","14.0000","270",""
"R19","15.4K 1%","TopLayer","RESC1005X40X25ML05T10","24.3000","14.0000","270",""
"R18","6.04K 1%","BottomLayer","RESC1005X40X25LL05T10","41.0750","56.8000","0",""
"R17","15K 1%","BottomLayer","RESC1005X40X25ML05T10","41.2000","50.5000","180",""
"Q1","DMG1012T-7","TopLayer","DIOD-SOT523-3_V","24.8000","16.1000","180","N-Channel Enhancement Mode MOSFET, 20 V, 630 mA, -55 to 150 degC, 3-Pin SOT23, RoHS, Tape and Reel"
"L3","1.0uH","TopLayer","FP-NR4018-MFG","30.6000","37.3000","180","SMD Power Inductors for Automotive Applications 1.0uH ±30% 3.2A 32.4m?"
"FB7","BLM18AG221SN1D","BottomLayer","FP-BLM18-0_15-t0_8-IPC_A","29.0000","40.9000","270","Chip Ferrite Bead, 0603, 220? @ 100MHz, 0.25?, 25%, 700mA"
"FB6","MPZ1608S601ATD25","TopLayer","FP-MPZ1608-0_8-IPC_B","20.9000","21.2000","270","Power line Ferrite Bead 600? @ 100MHz 1A DCR 0.15? AEC-Q200 SMD 0603"
"FB5","MPZ1608S601ATD25","TopLayer","FP-MPZ1608-0_8-IPC_B","22.5000","21.2000","270","Power line Ferrite Bead 600? @ 100MHz 1A DCR 0.15? AEC-Q200 SMD 0603"
"FB4","BLM18AG221SN1D","BottomLayer","FP-BLM18-0_15-t0_8-IPC_A","30.2500","47.0261","270","Chip Ferrite Bead, 0603, 220? @ 100MHz, 0.25?, 25%, 700mA"
"C60","10uf","TopLayer","FP-GRM188-0_2-IPC_C","34.3994","38.7500","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 35V"
"C59","10uf","BottomLayer","FP-GRM188-0_2-IPC_C","29.0000","38.1000","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 35V"
"C58","22uF","TopLayer","FP-GRM21B-0_15-MFG","29.8000","41.9000","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 22uF, X5R, 15%, 20%, 6.3V"
"C57","22uF","TopLayer","FP-GRM21B-0_15-MFG","29.8000","40.3000","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 22uF, X5R, 15%, 20%, 6.3V"
"C56","22pF","TopLayer","FP-C0603C-CF-MFG","29.6000","43.5000","0","CAP CER 22PF 50V NP0 0603"
"C55","47uF","TopLayer","FP-C2012-125-0_2-IPC_B","4.8391","23.3500","0","Multilayer Ceramic Capacitors 47?F ±20% 10V X5R SMD 0805"
"C54","100nF","BottomLayer","FP-C0402-BB-MFG","1.3500","27.5000","270","CAP CER 0.1UF 10V X5R 0402"
"C53","100uF","TopLayer","PNSC-EEEFK1C101P_L","15.1000","20.5000","180","Aluminum Electrolytic Capacitor, 100 uF, 20%, 16 V, -55 to 105 degC, 2-Pin SMD, RoHS, Tape and Reel"
"C52","47uF","TopLayer","FP-C2012-125-0_2-IPC_B","24.6750","27.0250","270","Multilayer Ceramic Capacitors 47?F ±20% 10V X5R SMD 0805"
"C51","100nF","BottomLayer","FP-C0402-BB-MFG","26.3750","32.9750","0","CAP CER 0.1UF 10V X5R 0402"
"C50","100uF","TopLayer","PNSC-EEEFK1C101P_L","15.1000","13.6000","180","Aluminum Electrolytic Capacitor, 100 uF, 20%, 16 V, -55 to 105 degC, 2-Pin SMD, RoHS, Tape and Reel"
"C49","10uf","TopLayer","FP-GRM188-0_2-IPC_C","22.4000","10.3000","180","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 35V"
"C43","10uf","TopLayer","FP-GRM188-0_2-IPC_C","20.0000","10.7000","180","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 35V"
"C42","100nF","BottomLayer","FP-GRM15-MFG","39.5000","48.7000","270","CAP CER 0.1UF 16V X7R 0402"
"C41","100nF","BottomLayer","FP-GRM15-MFG","41.1000","54.5000","0","CAP CER 0.1UF 16V X7R 0402"
"C40","100nF","BottomLayer","FP-GRM15-MFG","41.1000","53.5000","0","CAP CER 0.1UF 16V X7R 0402"
"C39","100nF","BottomLayer","FP-GRM15-MFG","35.6000","48.7000","270","CAP CER 0.1UF 16V X7R 0402"
"C38","100nF","BottomLayer","FP-GRM15-MFG","38.0750","56.6750","90","CAP CER 0.1UF 16V X7R 0402"
"C37","100nF","BottomLayer","FP-GRM15-MFG","34.4500","56.6750","90","CAP CER 0.1UF 16V X7R 0402"
"C36","100nF","BottomLayer","FP-GRM15-MFG","32.1000","50.3000","180","CAP CER 0.1UF 16V X7R 0402"
"C35","100nF","BottomLayer","FP-GRM15-MFG","33.0500","54.1000","180","CAP CER 0.1UF 16V X7R 0402"
"C34","100nF","BottomLayer","FP-GRM15-MFG","36.8750","56.6750","90","CAP CER 0.1UF 16V X7R 0402"
"C33","100nF","BottomLayer","FP-GRM15-MFG","33.0500","55.3000","180","CAP CER 0.1UF 16V X7R 0402"
"C32","100nF","BottomLayer","FP-GRM15-MFG","33.0500","52.8750","180","CAP CER 0.1UF 16V X7R 0402"
"C31","100nF","BottomLayer","FP-GRM15-MFG","33.0500","51.7000","180","CAP CER 0.1UF 16V X7R 0402"
"C30","100nF","BottomLayer","FP-GRM15-MFG","35.6500","56.6750","90","CAP CER 0.1UF 16V X7R 0402"
"C29","100nF","BottomLayer","FP-GRM15-MFG","39.2750","56.6750","90","CAP CER 0.1UF 16V X7R 0402"
"C28","100nF","BottomLayer","FP-GRM15-MFG","41.1000","52.5000","0","CAP CER 0.1UF 16V X7R 0402"
"C27","100nF","BottomLayer","FP-GRM15-MFG","38.4000","48.7000","270","CAP CER 0.1UF 16V X7R 0402"
"C26","25pF","TopLayer","FP-C0402-BB-MFG","44.2264","50.9026","0","CAP CER 12PF 25V NP0 0402"
"C25","25pF","TopLayer","FP-C0402-BB-MFG","44.2764","55.4776","0","CAP CER 12PF 25V NP0 0402"
"C23","100nF","TopLayer","FP-GRM15-MFG","37.9000","46.5250","270","CAP CER 0.1UF 16V X7R 0402"
"C20","10uf","BottomLayer","FP-GRM188-0_2-IPC_C","31.5500","47.3500","90","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 35V"
"C19","10uf","BottomLayer","FP-GRM188-0_2-IPC_C","28.9500","47.3500","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 35V"
"C14","100nF","TopLayer","FP-GRM15-MFG","35.8885","59.0000","270","CAP CER 0.1UF 16V X7R 0402"
"C13","100nF","TopLayer","FP-GRM15-MFG","36.6614","59.0000","270","CAP CER 0.1UF 16V X7R 0402"
"Y1","ABM10-25.000MHZ-E20-T","TopLayer","FP-ABM10-MFG","44.7764","53.2026","90","Crystal 25MHz ±20ppm 10pF SMD-4 2.5mm x 2mm"
"J1","HY911130A","TopLayer","HANRUN_HR911130A","12.9450","48.8150","90",""
"J4","SAMTEC-A-HTSW-120-08-F-DJ","TopLayer","SAMTEC-A-HTSW-120-08-F-D","108.0300","36.7300","270",""
"R16","2.2k","TopLayer","RESC1005X40X25LL05T05","23.5000","58.7500","0","Precision Thick Film Chip Resistor, 2.2 kOhm, 100 mW, 1%, -55 to 155 degC, 2-Pin SMD (0402), RoHS, Tape and Reel"
"R15","2.2k","TopLayer","RESC1005X40X25LL05T05","23.5000","57.7500","180","Precision Thick Film Chip Resistor, 2.2 kOhm, 100 mW, 1%, -55 to 155 degC, 2-Pin SMD (0402), RoHS, Tape and Reel"
"J3","USB3140-30-0230-1-C","TopLayer","GCT-USB3140_V","19.0000","60.7500","180","Micro USB Receptacle, Type B, SMT, Vertical, with Through-Hole Shell Stakes, -30 to 85 degC, 5-Pin SMD, RoHS, Tape and Reel"
"U3","TLV76701DRVR","TopLayer","FP-DRV0006A-IPC_C","27.9000","12.1220","270","IC REG LINEAR POS ADJ 1A 6WSON"
"R14","160k","TopLayer","FP-CRCW0805-e3-IPC_C","28.0000","18.4000","180","RES Thick Film, 160k?, 1%, 0.125W, 100ppm/°C, 0805"
"R13","499k","TopLayer","FP-CRCW0805-e3-MFG","28.2000","15.0000","0","RES Thick Film, 499k?, 1%, 0.125W, 100ppm/°C, 0805"
"C18","2.2uF","TopLayer","FP-CC0603-DA-MFG","30.8750","15.7250","270","CAP CER 2.2UF 10V X5R 0603"
"C17","10pF","TopLayer","CAPC1005X55X25ML05T05","28.7000","16.7250","0","Chip Capacitor, 10 pF, +/- 5%, 50 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C16","1uF","TopLayer","FP-CC0805-0_85-MFG","30.8000","12.3000","90","CAP CER 1UF 10V X7R 0805"
"C11","100nF","BottomLayer","FP-GRM15-MFG","33.6000","31.8000","0","CAP CER 0.1UF 16V X7R 0402"
"R12","1M","BottomLayer","FP-ERJ6EN-IPC_A","12.3500","60.1000","270","RES SMD 1M OHM 1% 1/8W 0805"
"C12","4.7nF","BottomLayer","FP-0805-L_2_01_0_2-W_1_25-IPC_B","9.8500","59.9250","90","General Purpose Ceramic Capacitor, 0805, 4.7nF, 10%, X7R, 0.15, 50V"
"U2","RT9742GGJ5","TopLayer","FP-RT9742GGJ5-IPC_C","74.9605","59.3432","90","IC PWR SWTCH N-CHAN 1:1 TSOT23-5"
"R11","12k","TopLayer","FP-RC0402-0_4-IPC_C","75.5000","62.1000","180","RES SMD 12K OHM 1% 1/16W 0402"
"C10","10uf","TopLayer","FP-GRM188-0_2-IPC_C","74.6000","55.8000","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 35V"
"SD1","503398-1892","TopLayer","MOLX-503398-1892_V","83.6800","57.1300","0","Micro SD Connector, Pitch 1.1 mm, 8 Position, Height 1.4 mm, -25 to 85 degC, RoHS, Tape and Reel"
"R10","470ohm","TopLayer","RESC1005X40X25ML05T10","25.6500","61.1750","90",""
"R9","470ohm","TopLayer","RESC1005X40X25ML05T10","24.5000","61.1750","90",""
"C9","100nF","TopLayer","FP-C0402-BB-MFG","22.5750","56.3000","0","CAP CER 0.1UF 10V X5R 0402"
"R8","4.7K","BottomLayer","RESC1005X40X25LL05T05","51.7000","36.8000","180","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R7","115k","TopLayer","RESC1005X40X25ML05T05","39.6500","24.7000","180",""
"R6","15.8k","TopLayer","FP-CRCW0402-e3-IPC_C","38.4000","21.9500","90","RES Thick Film, 15.8k?, 1%, 0.063W, 100ppm/°C, 0402"
"R5","22.1k","TopLayer","FP-CRCW0402-e3-IPC_A","42.4000","24.7000","180","RES Thick Film, 22.1k?, 1%, 0.063W, 100ppm/°C, 0402"
"L1","3.6uH","TopLayer","FP-NR8040-H_4_2-MFG","36.4000","14.2000","270","Shielded Wirewound Inductor 3.6uH 30% 6A 19.5m? SMD Automotive"
"C7","33pF","TopLayer","FP-0402-L_1_0_1-W_0_5_0_1-IPC_A","36.9000","21.7000","270","General Purpose Ceramic Capacitor, 0402, 33pF, 5%, C0G, 30ppm/°C, 50V"
