Change Component DesignItemId : Designator=C1 Old DesignItemId=CC0603GRNPO9BN100 New DesignItemId=CC0402KRNPO9BN100
Change Component Footprint: Designator=C1 Old Footprint=CAP 0603_1608 New Footprint=CAP 0402_1005
Change Component Description : Designator=C1 Old Description=CAP CER 10PF 50V C0G/NPO 0603 New Description=CAP CER 10PF 50V C0G/NPO 0402
Change component parameters: Designator = "C1" ("C1"); Footprint = "CAP 0603_1608"; UniqueID = "\QENQNJKQ" ("\QENQNJKQ")
Change component parameters (AddParameter): Name = "Applications"; Value = "General Purpose"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacitance"; Value = "10 pF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink1description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink1url"; Value = "https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink2description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink2url"; Value = "https://www.digikey.com/en/products/detail/yageo/CC0402KRNPO9BN100/11489535"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "0402 (1005 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "lastupdated"; Value = "09.02.2024 20:03:43"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "10"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount, MLCC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "0402 (1005 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "packaging"; Value = "CutTape"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "CC0402KRNPO9BN100"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "partid"; Value = "52087"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "price"; Value = "0.01"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "series"; Value = "CC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "0.039" L x 0.020" W (1.00mm x 0.50mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "13-CC0402KRNPO9BN100CT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "C0G, NP0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Thickness (Max)"; Value = "0.022" (0.55mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "10 pF NC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Rated"; Value = "50V"; VariantName = "[No Variations]"
